bp,sex,D1Mit296,D1Mit123,D1Mit156,D1Mit178,D1Mit19,D1Mit7,D1Mit46,D1Mit132,D1Mit334,D1Mit305,D1Mit26,D1Mit94,D1Mit218,D1Mit100,D1Mit102,D1Mit14,D1Mit105,D1Mit159,D1Mit267,D1Mit15,D1Mit456,D1Mit155,D2Mit359,D2Mit82,D2Mit241,D2Mit14,D2Mit62,D2Mit280,D2Mit229,D2Mit266,D3Mit164,D3Mit6,D3Mit11,D3Mit14,D3Mit44,D3Mit19,D4Mit149,D4Mit41,D4Mit108,D4Mit237,D4Mit286,D4Mit214,D4Mit53,D4Mit89,D4Mit111,D4Mit288,D4Mit164,D4Mit178,D4Mit80,D4Mit81,D4Mit276,D4Mit152,D4Mit302,D4Mit175,D4Mit16,D4Mit14,D5Mit193,D5Mit61,D5Mit387,D5Mit148,D5Mit13,D5Mit55,D5Mit312,D5Mit188,D5Mit213,D5Mit31,D5Mit99,D5Mit101,D5Mit409,D5Mit169,D6Mit86,D6Mit273,D6Mit188,D6Mit8,D6Mit213,D6Mit36,D6Mit135,D6Mit59,D6Mit295,D6Mit201,D6Mit15,D7Mit306,D7Mit25,D7Mit297,D7Mit30,D7Mit37,D7Mit71,D7Nds4,D8Mit3,D8Mit292,D8Mit25,D8Mit45,D8Mit271,D8Mit156,D9Mit297,D9Mit27,D9Mit8,D9Mit24,D9Mit18,D10Mit166,D10Mit214,D10Mit11,D10Mit14,D10Mit297,D11Mit74,D11Mit2,D11Mit78,D11Mit79,D11Mit80,D11Mit82,D11Mit163,D11Mit110,D11Mit136,D11Mit20,D11Mit310,D11Mit35,D11Mit67,D11Mit48,D12Mit37,D12Mit110,D12Mit34,D12Mit118,D12Mit20,D13Mit16,D13Mit59,D13Mit91,D13Mit148,D13Mit78,D14Mit48,D14Mit14,D14Mit37,D14Mit7,D14Mit266,D15Mit11,D15Mit175,D15Mit53,D15Mit111,D15Mit56,D15Mit22,D15Mit206,D15Mit152,D15Mit156,D15Mit108,D15Mit79,D16Mit32,D16Mit4,D16Mit171,D16Mit5,D16Mit70,D16Mit106,D17Mit164,D17Mit143,D17Mit57,D17Mit113,D17Mit131,D17Mit46,D17Mit45,D17Mit23,D17Mit11,D17Mit10,D17Mit53,D17Mit221,D18Mit67,D18Mit17,D18Mit50,D18Mit4,D19Mit59,D19Mit40,D19Mit53,D19Mit137
,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,19,19,19,19
,,3.3,19.7000000001,32.8000000002,35.0000000003,37.2000000004,41.5000000005,43.7000000006,43.7000000007,49.2000000008,54.6000000009,64.500000001,67.8000000011,69.9000000012,74.3000000013,75.4000000014,82.0000000015,82.0000000016,82.0000000017,82.0000000018,86.3000000019,94.000000002,115.8000000021,7.7,17.5000000001,29.5000000002,49.2000000003,54.6000000004,66.7000000005,85.2000000006,98.4000000007,2.2,17.5000000001,37.2000000002,44.8000000003,57.9000000004,66.7000000005,0,14.2000000001,16.4000000002,17.5000000003,18.6000000004,21.9000000005,23.0000000006,23.0000000007,25.1000000008,28.4000000009,29.500000001,30.6000000011,31.7000000012,31.7000000013,32.8000000014,33.9000000015,35.0000000016,47.0000000017,56.8000000018,74.3000000019,0,5.5000000001,10.9000000002,14.2000000003,15.3000000004,18.6000000005,32.8000000006,51.4000000007,60.1000000008,66.7000000009,73.200000001,74.3000000011,77.6000000012,82.0000000013,0,9.8000000001,21.9000000002,25.1000000003,29.5000000004,40.4000000005,51.4000000006,56.8000000007,63.4000000008,65.6000000009,66.700000001,1.1,13.1000000001,26.2000000002,28.4000000003,37.2000000004,53.6000000005,55.6000000006,6.6,19.7000000001,33.9000000002,40.4000000003,59.0000000004,75.4000000005,12,24.0000000001,40.4000000002,56.8000000003,68.9000000004,2.2,15.3000000001,50.3000000002,69.9000000003,75.4000000004,2.2,4.4000000001,4.4000000002,8.7000000003,8.7000000004,10.9000000005,13.1000000006,17.5000000007,17.5000000008,19.7000000009,25.100000001,43.7000000011,60.1000000012,80.9000000013,1.1,16.4000000001,23.0000000002,40.4000000003,56.8000000004,5.7,7.7000000001,16.4000000002,40.4000000003,59.0000000004,0,16.4000000001,36.1000000002,52.5000000003,67.8000000004,5.5,5.5000000001,7.7000000002,13.1000000003,16.4000000004,16.4000000005,17.5000000006,17.5000000007,29.5000000008,55.7000000009,63.400000001,0,25.1000000001,31.7000000002,32.8000000003,51.4000000004,51.4000000005,1.1,1.1000000001,1.1000000002,2.2000000003,3.3000000004,3.3000000005,5.5000000006,6.6000000007,10.9000000008,19.7000000009,33.900000001,50.3000000011,2.2,14.2000000001,26.2000000002,37.2000000003,0,17.5000000001,32.8000000002,55.7000000003
109.6,1,H,H,H,-,H,H,-,-,H,H,H,A,-,A,A,A,A,-,-,A,A,A,A,A,A,A,A,A,H,H,A,H,H,A,A,A,H,A,-,-,-,A,-,-,A,A,-,A,-,-,-,-,A,A,A,A,A,-,A,A,A,A,A,H,H,H,H,-,H,H,H,H,H,H,H,H,A,A,A,-,A,H,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,-,-,H,-,H,-,H,-,-,H,A,A,A,H,A,A,A,H,H,H,H,H,H,-,H,H,H,H,A,-,A,-,A,A,-,A,A,A,A,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,A,A
109.8,1,H,H,H,A,A,A,-,-,A,A,A,A,-,A,A,A,A,-,-,A,A,H,A,A,A,A,H,H,H,H,H,H,H,H,H,H,A,A,-,-,-,A,-,-,A,A,-,A,A,A,A,A,H,H,H,H,A,-,A,A,A,H,H,H,H,A,A,-,A,A,A,H,H,H,H,H,A,A,A,-,A,H,H,A,A,A,A,H,A,H,A,A,A,A,H,H,H,A,A,A,A,A,A,A,A,-,-,A,-,A,-,A,-,-,A,A,A,H,A,A,A,A,A,H,H,H,A,A,-,A,A,A,A,A,-,A,-,A,A,-,A,A,H,H,H,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A
110.1,1,A,A,A,-,A,A,-,-,A,H,H,H,-,H,H,H,H,-,-,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,H,A,-,-,-,A,-,-,A,A,-,A,-,-,-,-,A,A,A,A,H,-,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,A,A,A,A,H,H,-,H,H,H,H,H,H,A,A,A,A,A,A,A,A,H,A,A,A,A,A,H,H,A,A,H,-,-,H,-,H,-,H,-,-,H,A,A,A,A,A,A,A,A,H,H,H,A,A,-,A,A,A,A,A,-,A,-,A,A,-,A,A,A,A,H,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,H,A,A,A
110.6,1,H,H,H,H,A,A,-,-,A,A,A,A,-,A,A,A,A,-,-,A,A,A,H,A,A,A,A,A,A,H,A,A,A,A,H,H,A,A,-,-,-,A,-,-,A,A,-,A,-,-,-,-,A,A,A,A,A,-,A,A,A,A,A,A,A,A,A,-,A,A,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,A,A,A,A,A,A,A,H,H,H,A,A,H,A,A,A,A,A,H,-,-,H,-,H,-,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,H,H,-,A,A,A,A,H,-,H,-,H,H,-,H,H,A,A,A,H,H,H,H,H,A,A,A,A,A,A,A,A,A,H,H,H,H,A,A,A,A,A,A,A
115,1,H,H,A,-,A,A,-,-,A,A,A,A,-,A,A,A,A,A,A,H,H,A,A,A,A,A,A,A,H,H,A,H,H,H,H,H,A,A,-,-,-,A,-,-,A,A,-,A,A,A,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,A,-,A,A,A,H,H,H,H,H,H,A,A,-,A,A,A,A,A,A,A,A,A,A,A,A,A,H,A,A,A,A,H,H,H,A,A,A,A,-,-,A,-,A,-,A,-,-,A,A,A,A,H,H,H,H,A,A,H,H,H,H,-,H,H,H,H,H,-,H,-,H,H,-,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,A,A,H,H,A,A,H,H
109.8,1,A,A,A,-,A,A,-,-,A,A,A,A,-,A,A,A,A,A,A,H,A,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,-,-,-,A,-,-,A,A,-,A,-,-,-,-,A,H,H,H,A,-,A,A,A,A,A,A,A,A,A,-,A,A,H,H,H,H,H,H,H,H,A,A,A,A,A,A,H,H,H,H,A,H,H,H,H,H,A,A,A,A,H,A,A,H,H,H,H,-,-,H,-,H,-,H,-,-,H,H,H,H,H,H,A,A,A,H,H,A,H,H,-,H,H,A,A,A,-,A,-,A,A,-,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A
114.4,1,H,H,H,H,A,A,-,-,A,A,A,A,-,A,A,A,A,-,-,A,A,H,H,H,H,H,H,A,A,A,H,H,H,H,H,H,A,A,-,-,-,A,-,-,A,A,-,A,H,H,H,H,H,H,H,H,A,H,H,H,H,H,H,H,H,H,H,-,H,H,A,A,H,H,H,H,H,H,A,-,A,H,H,H,H,H,A,A,H,H,H,H,H,H,H,H,H,H,H,A,A,H,H,H,A,H,H,H,-,H,-,H,-,-,H,A,A,A,H,H,H,H,H,H,H,H,A,A,-,H,H,H,H,A,-,A,-,A,A,-,A,A,A,A,H,H,H,H,H,H,A,A,A,A,A,A,A,A,H,H,H,H,A,H,H,H,H,H,H,H
113.4,1,A,A,A,-,A,A,A,H,H,H,H,H,H,A,A,A,A,-,-,A,A,A,H,A,A,A,A,A,H,H,H,H,A,A,A,A,A,A,-,-,-,A,-,-,A,A,-,A,-,-,-,-,A,A,H,H,A,-,A,A,A,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,A,A,H,H,A,A,A,A,H,H,H,H,A,H,H,H,A,A,H,-,-,H,-,H,-,H,-,-,H,H,H,H,H,A,A,A,A,A,A,H,H,H,-,H,H,H,H,H,-,H,-,H,H,-,H,A,A,A,A,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,A,A,H,H
